Year,Month,Date,GMT,SWEAT index,Showalter index,LIFTED index,K index,Cross totals index,Vertical totals index,Totals totals index,TLCL,PLCL,CINE,CAPE,PRECIPITABLE WATER,1000-500 THICKNESS,prob
1981,3,23,0,415.9,-4,-10.2,40.2,26.1,33.7,59.8,294.17,956.25,-93.1,2820.5,37.1,5685,,
1981,3,23,12,361.7,-4.2,-7.8,37.2,24.7,32.1,56.8,286.95,802.78,-576.4,2085.3,34.9,5701,,
1981,3,24,0,110,-1.5,-8,29.2,17.7,30.1,47.8,295.06,980.18,-50,2337,30.1,5672,,
1981,3,24,12,327.2,-2.5,-7.3,35.8,24.7,31.3,56,290.46,881.24,-226.5,2088.3,38.3,5691,,
1981,3,25,0,275.1,-1.7,-7.5,34.6,24.1,30.5,54.6,294.05,977.71,-48.2,2368.4,38.5,5651,,
1981,3,25,12,256.2,1.8,-2.4,38.5,24.9,28.9,53.8,290.52,980.61,-78.9,389.9,33.9,5668,,
1981,3,26,0,128.2,1.1,-1.9,26.6,19.9,30.9,50.8,289.14,980.76,-109.1,188.8,27,5615,,
1981,3,26,12,414.1,-6.4,-10.5,33.8,27.9,32.7,60.6,289.54,881.76,-164.8,3453.5,29,5631,,
1981,3,27,0,219.5,-5.2,-9.5,22.3,22.3,33.3,55.6,291.73,985.52,-46.9,2790.4,21.1,5581,,
1981,3,27,12,231.7,-7.2,-11.1,28.8,19.3,35.7,55,288.14,816.39,-484.8,3588.4,25.3,5686,,
1981,3,28,0,349.7,0.4,-3.8,28.6,27.1,28.5,55.6,290.69,975.54,-65.8,1311,28.7,5642,,
1981,3,28,12,323.6,-1.4,-8.2,34.4,24.3,30.1,54.4,294.2,917.31,-119,3051.4,40,5735,,
1981,3,29,0,348.3,2.3,-2.2,37,25.7,30.1,55.8,290.48,957.02,-198.1,527.5,38.4,5686,,
1981,3,29,12,413.9,-2,-8.7,28.2,26.9,30.5,57.4,293.89,907.58,-125.2,3511.1,39.7,5731,,
1981,3,30,0,320,3.3,-3,38.3,23.1,30.9,54,293.91,985.37,-192.7,1096.1,42,5746,,
1981,3,30,12,413,-3,-8.5,38.2,27.1,31.5,58.6,292.46,930.47,-92,3048.4,39.7,5679,,
1981,3,31,0,594.1,-9.6,-16.3,42.2,31.9,37.9,69.8,295.29,985.28,-27.6,4446,36.2,5675,,
1981,3,31,12,422.2,-4.2,-9.7,39.7,27.7,31.1,58.8,292.03,887.68,-127.5,2137.8,42.7,5688,,
1981,4,1,0,226.1,4.6,0.6,34.3,21.7,28.1,49.8,290.84,975.18,-196,132.9,37.4,5672,,
1981,4,1,12,416,-1.6,-8.3,36,26.7,29.3,56,294.44,932.88,-67.6,2671.9,40.1,5720,,
1981,4,2,0,225.7,4.8,-1.9,35.5,21.1,25.5,46.6,294.64,977.65,-40.1,774.6,41.5,5727,,
1981,4,2,12,238.2,0.8,-5.2,33.4,22.1,28.9,51,292.42,898.06,-181.7,1442.2,37.3,5747,,
1981,4,3,0,310.7,0,-8.7,34.8,23.1,30.7,53.8,297.93,995.1,-26.4,2643.8,42.5,5758,,
1981,4,3,12,130.7,-1.5,-9.1,24.4,14.9,26.7,41.6,296.09,916.61,-68.9,5928.8,33.9,5722,,
1981,4,4,0,509.5,-1.6,-10.1,41.3,25.9,30.1,56,297.53,972.06,-6.9,41.3,51.9,5776,,
1981,4,4,12,252.2,-5.9,-14,33.8,21.1,30.9,52,298.08,919.14,-54.9,8381.4,42.8,5702,,
1981,4,5,0,88.2,4.4,-3.7,13.4,5.3,24.7,30,297.42,979.97,-63.5,2035.3,36.7,5758,,
1981,4,5,12,121.8,0.5,-2.8,16.6,11.9,31.3,43.2,285.23,766.59,-1089.1,948.4,25.1,5767,,
1981,4,6,0,71.8,1.2,-6.9,15.2,3.4,30.5,33.9,297.29,987.66,-88.3,2023.3,24.9,5737,,
1981,4,6,12,62.1,6.8,3.6,4.4,2.6,24.7,27.3,284.79,794.54,0,0,23.8,5762,,
1981,4,7,0,57.6,7.2,2.2,12.4,6.9,22.9,29.8,291.39,942.67,-119.4,78.5,26.6,5720,,
1981,4,7,12,33,9.5,6.5,10.4,0.6,25.5,26.1,285.55,880.36,0,0,20.6,5734,,
1981,4,8,0,67.9,11.1,6.7,5,1.2,25.1,26.3,289.42,951.71,0,0,22.5,5760,,
1981,4,8,12,58.2,6.5,4.6,8.8,5,27.1,32.1,278.89,706.99,0,0,23,5788,,
1981,4,9,0,87.3,2.7,-3,5.4,3.4,27.1,30.5,292.73,942.31,-135.7,840.9,18.3,5713,,
1981,4,9,12,93.5,7.4,5.4,15.6,5.3,27.5,32.8,278.24,691.79,0,0,28.4,5819,,
1981,4,10,0,75.7,11.6,11.6,16.6,5.6,28.9,34.5,272,723.65,0,0,18.5,5710,,
1981,4,10,12,155.2,2.1,-2.6,21.2,14.3,28.9,43.2,288.84,815.84,-610.2,1382.3,29.4,5785,,
1981,4,11,0,98.9,0.4,-6.7,18.4,9.6,31.3,40.9,295.27,964.31,-130.8,2124.2,30.1,5737,,
1981,4,11,12,168.5,-4.6,-11.3,24.4,19.1,30.1,49.2,294.57,890,-129.4,4418,33.1,5730,,
1981,4,12,0,155.1,-2.8,-10.4,20,17.1,31.7,48.8,296.71,969.5,-8.7,49.8,31.2,5693,,
1981,4,12,12,325.6,3.4,-2.1,40.9,24.5,28.1,52.6,292,927.54,-191.5,500,45.5,5751,,
1981,4,13,0,222.2,6.5,1.1,19.8,22.7,23.3,46,292.47,977.89,-260.7,251.8,39.7,5742,,
1981,4,13,12,283.2,-0.2,-8,35.6,24.3,27.9,52.2,295.9,923.08,-67,4493.4,45.7,5783,,
1981,4,14,0,252,3.6,-4.1,36.3,23.9,25.1,49,296.24,980.09,-25.5,2448.7,46.9,5756,,
1981,4,14,12,131.8,0,-6.7,22.4,16.9,27.7,44.6,293.91,897.35,-127,678.7,32.6,5768,,
1981,4,15,0,205.3,3.3,-3.9,30.8,22.1,22.9,45,295.65,980.15,-5.4,2387.6,41,5734,,
1981,4,15,12,216.9,1.2,-7.4,36.7,22.1,26.3,48.4,297.8,963.91,-11.8,1463.4,47.2,5769,,
1981,4,16,0,231.9,2.6,-4.9,31.6,23.1,25.5,48.6,296.06,982.65,-23,2690.2,43.2,5743,,
1981,4,16,12,302.6,1.6,-4.8,27.8,24.3,27.9,52.2,293.14,907.88,-160,577.1,43.4,5764,,
1981,4,17,0,193.9,4.3,-0.7,35.5,17.5,31.9,49.4,291.49,977.98,-374.1,91.5,37.2,5744,,
1981,4,17,12,419.6,-1.4,-8.3,42.3,27.5,29.7,57.2,295.14,956.07,-19.2,1,48.7,5730,,
1981,4,18,0,850.7,-2.8,-8.3,47.3,32.3,35.3,67.6,298.07,985.06,-104.6,19.6,57.1,5730,,
1981,4,18,12,166.6,-2.4,-8.3,12.2,19.1,30.3,49.4,295.09,935.71,-73.7,132,24.5,5717,,
1981,4,20,12,391.7,-1.6,-7.9,20.4,27.5,28.5,56,293.63,923.87,-68.6,1647,38.6,5701,,
1981,4,21,0,139,5.1,-1.4,7.2,17.1,24.1,41.2,294.33,990.31,-119.9,627.5,34.2,5757,,
1981,4,21,12,210.2,3.8,-2.5,17.4,20.1,25.3,45.4,292.61,897.96,-212.9,1502.3,38.4,5787,,
1981,4,22,0,280.7,0.4,-7.5,32.8,24.9,27.1,52,296.9,987.69,-3.6,4260.2,43.4,5727,,
1981,4,22,12,332.4,-1.2,-9.3,31.2,25.9,27.1,53,296.65,916.4,-65.6,6191.6,45.4,5757,,
1981,4,23,0,346.7,-0.3,-9.7,35.4,25.7,29.1,54.8,298.86,985.03,-30.7,4298.7,49.7,5782,,
1981,4,23,12,148.2,-2.4,-10.6,26,19.5,29.7,49.2,296.84,916.34,-76.3,3903.7,38.6,5756,,
1981,4,24,0,139.5,-0.7,-9.7,25.4,18.3,30.1,48.4,298.63,982.47,-30.6,5089.1,35.2,5742,,
1981,4,24,12,33,-1.3,-7.3,15.6,4.8,29.7,34.5,292.01,865.22,-253.2,3166.1,20,5728,,
1981,4,25,0,126.2,3.7,-7.3,24.4,16.7,28.1,44.8,290.75,931.02,-179.5,404.8,25,5712,,
1981,4,25,12,183.5,0.9,-4.1,22,20.1,29.9,50,289.36,838.12,-400.8,1618.2,33.3,5755,,
1981,4,26,0,28.5,0.7,-3.8,21.8,13.3,33.3,46.6,290.32,921.92,-271.9,895,26.8,5704,,
1981,4,26,12,141.4,0.2,-5.1,21.6,17.9,28.7,46.6,289.78,828.96,-440.3,1963.5,34.4,5759,,
1981,4,27,0,103.1,0.2,-7.7,22,15.3,29.1,44.4,296.9,987.69,-24.3,3371.9,34.4,5699,,
1981,4,27,12,59.6,-4.3,-11.9,19.2,11.7,32.9,44.6,295.45,893.14,-161.2,5531.4,28.7,5741,,
1981,4,28,0,220.6,-0.2,-9.2,38.1,20.1,30.9,51,298.34,997.57,-0.5,2.4,48.5,5757,,
1981,4,28,12,343.4,-1.7,-9.5,28,24.9,29.9,54.8,295.45,893.14,-161.2,4701.7,44.6,5793,,
